atv_fisica,calorias
Andar de bicicleta,5 kcal/min
Balé,8 kcal/min
Basquete,10 kcal/min
Boxe,11 kcal/min
Caminhada,"5,5 kcal/min"
Capoeira,12 kcal/min
Ciclismo,6 kcal/min
Corrida,10 kcal/min
Dança de Salão,"3,5 kcal/min"
Esqui aquático,11 kcal/min
Futebol,9 kcal/min
Ginástica aeróbica,6 kcal/min
Ginástica olímpica,6 kcal/min
Golfe,3 kcal/min
Handebol,10 kcal/min
Hidroginástica,6 kcal/min
Jiu-jitsu,12 kcal/min
Jogar vídeo game,"1,8 kcal/min"
Jogar futebol,"8,5 kcal/min"
Judô,12 kcal/min
Mountain bike,12 kcal/min
Musculação,5 kcal/min
Natação,9 kcal/min
Remo,11 kcal/min
Squash,13 kcal/min
Subir escada,"16,6 kcal/min"
Surfe,8 kcal/min
Tênis,8 kcal/min
Vôlei,6 kcal/min
Windsurf,7 kcal/min
